set_num,name,year,theme_id,num_parts,img_url
42037-1,Formula Off-Roader,2015,1,494,https://cdn.rebrickable.com/media/sets/42037-1.jpg
42038-1,Arctic Truck,2015,1,913,https://cdn.rebrickable.com/media/sets/42038-1.jpg
42039-1,24 Hours Race Car,2015,1,1219,https://cdn.rebrickable.com/media/sets/42039-1.jpg
42040-1,Fire Plane,2015,1,578,https://cdn.rebrickable.com/media/sets/42040-1.jpg
42041-1,Race Truck,2015,1,608,https://cdn.rebrickable.com/media/sets/42041-1.jpg
42042-1,Crawler Crane,2015,1,1400,https://cdn.rebrickable.com/media/sets/42042-1.jpg
42043-1,Mercedes-Benz Arocs 3245,2015,1,2793,https://cdn.rebrickable.com/media/sets/42043-1.jpg
42044-1,Display Team Jet,2016,1,113,https://cdn.rebrickable.com/media/sets/42044-1.jpg
42045-1,Hydroplane Racer,2016,1,180,https://cdn.rebrickable.com/media/sets/42045-1.jpg
42046-1,Getaway Racer,2016,1,170,https://cdn.rebrickable.com/media/sets/42046-1.jpg
42047-1,Police Interceptor,2016,1,185,https://cdn.rebrickable.com/media/sets/42047-1.jpg
42048-1,Race Kart,2016,1,345,https://cdn.rebrickable.com/media/sets/42048-1.jpg
42049-1,Mine Loader,2016,1,476,https://cdn.rebrickable.com/media/sets/42049-1.jpg
42050-1,Drag Racer,2016,1,647,https://cdn.rebrickable.com/media/sets/42050-1.jpg
42052-1,Heavy Lift Helicopter,2016,1,1042,https://cdn.rebrickable.com/media/sets/42052-1.jpg
42053-1,Volvo EW160E,2016,1,1166,https://cdn.rebrickable.com/media/sets/42053-1.jpg
42054-1,CLAAS XERION 5000 TRAC VC,2016,1,1976,https://cdn.rebrickable.com/media/sets/42054-1.jpg
42055-1,Bucket Wheel Excavator,2016,1,3929,https://cdn.rebrickable.com/media/sets/42055-1.jpg
42056-1,Porsche 911 GT3 RS,2016,1,2704,https://cdn.rebrickable.com/media/sets/42056-1.jpg
42057-1,Ultralight Helicopter,2017,1,199,https://cdn.rebrickable.com/media/sets/42057-1.jpg
42058-1,Stunt Bike,2017,1,140,https://cdn.rebrickable.com/media/sets/42058-1.jpg
42059-1,Stunt Truck,2017,1,142,https://cdn.rebrickable.com/media/sets/42059-1.jpg
42060-1,Roadwork Crew,2017,1,365,https://cdn.rebrickable.com/media/sets/42060-1.jpg
42061-1,Telehandler,2017,1,260,https://cdn.rebrickable.com/media/sets/42061-1.jpg
42062-1,Container Yard,2017,1,631,https://cdn.rebrickable.com/media/sets/42062-1.jpg
42063-1,BMW R 1200 GS Adventure,2017,1,603,https://cdn.rebrickable.com/media/sets/42063-1.jpg
42064-1,Ocean Explorer,2017,1,1327,https://cdn.rebrickable.com/media/sets/42064-1.jpg
42065-1,RC Tracked Racer,2017,1,370,https://cdn.rebrickable.com/media/sets/42065-1.jpg
42066-1,Air Race Jet,2017,1,1151,https://cdn.rebrickable.com/media/sets/42066-1.jpg
42068-1,Airport Rescue Vehicle,2017,1,1106,https://cdn.rebrickable.com/media/sets/42068-1.jpg
42069-1,Extreme Adventure,2017,1,2382,https://cdn.rebrickable.com/media/sets/42069-1.jpg
42070-1,6x6 All Terrain Tow Truck,2017,1,1862,https://cdn.rebrickable.com/media/sets/42070-1.jpg
42071-1,Dozer Compactor,2018,1,171,https://cdn.rebrickable.com/media/sets/42071-1.jpg
42072-1,WHACK!,2018,1,135,https://cdn.rebrickable.com/media/sets/42072-1.jpg
42073-1,BASH!,2018,1,139,https://cdn.rebrickable.com/media/sets/42073-1.jpg
42074-1,Racing Yacht,2018,1,331,https://cdn.rebrickable.com/media/sets/42074-1.jpg
42075-1,First Responder,2018,1,513,https://cdn.rebrickable.com/media/sets/42075-1.jpg
42076-1,Hovercraft,2018,1,1020,https://cdn.rebrickable.com/media/sets/42076-1.jpg
42077-1,Rally Car,2018,1,1005,https://cdn.rebrickable.com/media/sets/42077-1.jpg
42078-1,Mack Anthem,2018,1,2595,https://cdn.rebrickable.com/media/sets/42078-1.jpg
42079-1,Heavy Duty Forklift,2018,1,592,https://cdn.rebrickable.com/media/sets/42079-1.jpg
42080-1,Forest Machine,2018,1,1003,https://cdn.rebrickable.com/media/sets/42080-1.jpg
42081-1,Volvo Concept Wheel Loader ZEUX,2018,1,1167,https://cdn.rebrickable.com/media/sets/42081-1.jpg
42082-1,Rough Terrain Crane,2018,1,4056,https://cdn.rebrickable.com/media/sets/42082-1.jpg
42083-1,Bugatti Chiron,2018,1,3599,https://cdn.rebrickable.com/media/sets/42083-1.jpg
42084-1,Hook Loader,2018,1,176,https://cdn.rebrickable.com/media/sets/42084-1.jpg
42088-1,Cherry Picker,2019,1,155,https://cdn.rebrickable.com/media/sets/42088-1.jpg
42089-1,Power Boat,2019,1,174,https://cdn.rebrickable.com/media/sets/42089-1.jpg
42090-1,Getaway Truck,2019,1,128,https://cdn.rebrickable.com/media/sets/42090-1.jpg
42091-1,Police Pursuit,2019,1,120,https://cdn.rebrickable.com/media/sets/42091-1.jpg
42092-1,Rescue Helicopter,2019,1,325,https://cdn.rebrickable.com/media/sets/42092-1.jpg
42093-1,Chevrolet Corvette ZR1,2019,1,579,https://cdn.rebrickable.com/media/sets/42093-1.jpg
42094-1,Tracked Loader,2019,1,827,https://cdn.rebrickable.com/media/sets/42094-1.jpg
42095-1,Remote-Controlled Stunt Racer,2019,1,324,https://cdn.rebrickable.com/media/sets/42095-1.jpg
42096-1,Porsche 911 RSR,2019,1,1580,https://cdn.rebrickable.com/media/sets/42096-1.jpg
42097-1,Compact Crawler Crane,2019,1,920,https://cdn.rebrickable.com/media/sets/42097-1.jpg
42098-1,Car Transporter,2019,1,2493,https://cdn.rebrickable.com/media/sets/42098-1.jpg
42099-1,4x4 X-treme Off-Roader,2019,1,958,https://cdn.rebrickable.com/media/sets/42099-1.jpg
42100-1,Liebherr R 9800 Excavator,2019,1,4108,https://cdn.rebrickable.com/media/sets/42100-1.jpg
42101-1,Buggy,2020,1,117,https://cdn.rebrickable.com/media/sets/42101-1.jpg
42102-1,Mini CLAAS XERION,2020,1,130,https://cdn.rebrickable.com/media/sets/42102-1.jpg
42103-1,Dragster,2020,1,225,https://cdn.rebrickable.com/media/sets/42103-1.jpg
42104-1,Race Truck,2020,1,227,https://cdn.rebrickable.com/media/sets/42104-1.jpg
42105-1,Catamaran,2020,1,405,https://cdn.rebrickable.com/media/sets/42105-1.jpg
42106-1,Stunt Show Truck & Bike,2020,1,610,https://cdn.rebrickable.com/media/sets/42106-1.jpg
42107-1,Ducati Panigale V4 R,2020,1,646,https://cdn.rebrickable.com/media/sets/42107-1.jpg
42108-1,Mobile Crane,2020,1,1292,https://cdn.rebrickable.com/media/sets/42108-1.jpg
42109-1,App-Controlled Top Gear Rally Car,2020,1,463,https://cdn.rebrickable.com/media/sets/42109-1.jpg
42110-1,Land Rover Defender,2019,1,2573,https://cdn.rebrickable.com/media/sets/42110-1.jpg
42111-1,Dom's Dodge Charger,2020,1,1077,https://cdn.rebrickable.com/media/sets/42111-1.jpg
42112-1,Cement Mixer,2020,1,1161,https://cdn.rebrickable.com/media/sets/42112-1.jpg
42113-1,Bell Boeing V-22 Osprey,2020,1,1636,https://cdn.rebrickable.com/media/sets/42113-1.jpg
42114-1,6x6 Volvo Articulated Hauler,2020,1,2193,https://cdn.rebrickable.com/media/sets/42114-1.jpg
42115-1,Lamborghini Sián FKP 37,2020,1,3696,https://cdn.rebrickable.com/media/sets/42115-1.jpg
42116-1,Skid Steer Loader,2021,1,139,https://cdn.rebrickable.com/media/sets/42116-1.jpg
42117-1,Race Plane,2021,1,154,https://cdn.rebrickable.com/media/sets/42117-1.jpg
42118-1,Monster Jam Grave Digger,2021,1,212,https://cdn.rebrickable.com/media/sets/42118-1.jpg
42119-1,Monster Jam Max-D,2021,1,230,https://cdn.rebrickable.com/media/sets/42119-1.jpg
42120-1,Rescue Hovercraft,2021,1,457,https://cdn.rebrickable.com/media/sets/42120-1.jpg
42121-1,Heavy-Duty Excavator,2021,1,569,https://cdn.rebrickable.com/media/sets/42121-1.jpg
42122-1,Jeep Wrangler,2021,1,665,https://cdn.rebrickable.com/media/sets/42122-1.jpg
42123-1,McLaren Senna GTR,2021,1,830,https://cdn.rebrickable.com/media/sets/42123-1.jpg
42124-1,Off-Road Buggy,2021,1,374,https://cdn.rebrickable.com/media/sets/42124-1.jpg
